# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
AU|2008|3073803|113|34717649|876|1055506156996.89
AU|2009|2626620|122|37344269|998|926710311519.414
AU|1999|339200|58|18847232|185|388867652588.044
AU|1998|271616|55|18508032|127|399523163535.237
AU|2002|535311|76|21189426|388|394442235244.872
AU|1994|2531072|0|16046336|0|322830854375.649
AU|1997|255488|53|18236416|72|435828768195.336
AU|1996|1138176|16|17980928|19|401579666160.85
AU|1991|3355904|0|9431296|0|325581979436.465
AU|1990|3308288|0|6075392|0|311393612928.049
AU|1993|1846272|0|13515264|0|311965289488.477
AU|1992|2237696|0|11668992|0|325389525494.117
LK|2005|0|0|104448|6|24405791044.7761
LK|2004|20480|0|104448|6|20662525941.2986
LK|1968|0|0|0|0|1801176470.58824
LK|1969|0|0|0|0|1965546218.48739
LK|1964|0|0|0|0|1321840726.05042
LK|1965|0|0|0|0|1698319327.73109
LK|1966|0|0|0|0|1751470588.23529
LK|1967|0|0|0|0|1859465020.57613
LK|1961|0|0|0|0|1454342131.09244
LK|1962|0|0|0|0|1458609619.75309
LK|1963|0|0|0|0|1241387713.61345
LK|2006|84224|3|188672|9|28267410542.5164
LK|2011|10400|3|533712|18|59184308582.7982
LK|2010|114848|0|523312|15|49567521669.9098
LK|2012|2112|2|535824|20|59423009404.3887
LK|1982|0|0|0|0|4768765016.81884
LK|1983|0|0|0|0|5167913302.16745
LK|1980|0|0|0|0|4024621899.57653
LK|1981|0|0|0|0|4415844155.84416
LK|1986|0|0|0|0|6405210563.88294
LK|1987|0|0|0|0|6682167119.56522
LK|1984|0|0|0|0|6043474842.76729
LK|1985|0|0|0|0|5978460972.01767
LK|1988|0|0|0|0|6978371581.26375
LK|1989|0|0|0|0|6987267683.77254
LK|1995|1024|0|1024|0|13029697560.9756
LK|2003|16384|1|83968|6|18881765437.2151
LK|2007|57376|0|246048|9|32351184234.3157
LK|2000|4096|0|30720|0|16330810303.9159
LK|2001|28672|3|59392|3|15746224409.8
LK|1979|0|0|0|0|3364611432.24149
LK|1978|0|0|0|0|2733183856.50224
LK|1977|0|0|0|0|4104509582.86359
LK|1976|0|0|0|0|3591319857.31272
LK|1975|0|0|0|0|3791298145.50642
LK|1974|0|0|0|0|3574586466.16541
LK|1973|0|0|0|0|2875625000
LK|1972|0|0|0|0|2553936348.40871
LK|1971|0|0|0|0|2369308600.33727
LK|1970|0|0|0|0|2296470588.23529
LK|2008|14928|5|260976|14|40715240468.9375
LK|2009|147488|1|408464|15|42067974595.4411
LK|1999|24576|0|26624|0|15656342015.855
LK|1998|0|0|2048|0|15794972847.1683
LK|2002|8192|2|67584|5|17102623876.2283
LK|1994|0|0|0|0|11717604208.8223
LK|1997|1024|0|2048|0|15091930835.7349
LK|1996|0|0|1024|0|13897738375.2488
LK|1991|0|0|0|0|9000362581.58086
LK|1990|0|0|0|0|8032551173.24014
LK|1993|0|0|0|0|10338679635.7616
LK|1992|0|0|0|0|9703011635.86585
LI|1982|0|0|0|0|522096760.52682
LI|1983|0|0|0|0|524023708.331749
LI|1980|0|0|0|0|534699256.772624
LI|1981|0|0|0|0|511647837.146855
LI|1986|0|0|0|0|779357946.9847
LI|1987|0|0|0|0|1052849231.31947
LI|1984|0|0|0|0|502620920.656533
LI|1985|0|0|0|0|529073612.453579
LI|1988|0|0|0|0|1161757671.01756
LI|1989|0|0|0|0|1119983791.43298
LI|2004|9472|0|42016|2|3454374260.73671
LI|2011|6464|3|79008|13|0
LI|2002|256|0|32512|2|2688617884.8748
LI|2003|32|0|32544|2|3070803431.476
LI|2007|0|3|68896|8|4602346923.40322
LI|2010|2048|1|72544|10|0
LI|2008|832|0|69728|8|4929414914.73469
LI|2000|0|0|19968|0|2483890593.70545
LI|2001|12288|2|32256|2|2491800558.77674
LI|2005|19968|3|61984|5|3658356377.80983
LI|1979|0|0|0|0|503173087.228041
LI|1978|0|0|0|0|436912093.134986
LI|1977|0|0|0|0|303493105.419053
LI|1976|0|0|0|0|272489354.107335
LI|1975|0|0|0|0|246389070.12372
LI|1974|0|0|0|0|193980461.926317
