Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Gambia, The",GMB,814724059.790335,782913866.095892,687410628.644624,578235309.763014,487038678.244965,578785600.648136,624173996.312708,655068112.286777,798869805.089884,965771303.038565,900629372.999551,951805801.354012,898282865.871322,917292053.029626,
Guinea-Bissau,GNB,224446652.141584,361858968.13199,384270399.55365,406669723.434693,465414407.988807,522651787.703763,572853553.530448,578517348.941903,690721769.225811,842890956.086099,832530156.75007,835390892.988319,967762548.677982,822321032.405318,
Equatorial Guinea,GNQ,872016821.395879,1242848857.35322,1736116148.88788,2146760313.95481,2952359369.91398,5240842261.15571,8217368425.2764,7765111493.54484,10304490483.0189,15471010922.6482,10356293894.4756,12261420852.3549,16806886027.9694,17697394251.2135,
Greece,GRC,133187471440.326,124418164455.203,129841697351.145,146050256230.414,192850219244.135,227950420085.709,240075690332.289,261713232775.632,305431771154.799,341593975533.013,321016154721.238,292304602598.684,289627362870.833,249098684277.449,
Grenada,GRD,379629397.739948,523256354.907108,523279846.425211,544381961.645127,596339088.690494,600014340.551513,700431791.333632,704762535.923815,763824454.880744,832339701.300351,775507460.748489,783602099.124051,816054406.662033,766510727.203673,
Greenland,GRL,1131555107.04907,1068024993.98697,1086170638.72901,1169136691.35372,1426452030.10471,1644951892.18151,1702543476.55709,1738432116.43728,2121759848.4242,1739579593.56673,1267711816.12426,,,,
Guatemala,GTM,18317089473.0904,19290566570.0483,18702820735.0173,20776536919.9593,21917565499.915,23965280312.0871,27211230373.8306,30231130542.9832,34113106486.1272,39136286496.2176,37733791088.9585,41338161799.1082,47688885121.1624,50233749190.986,
Guam,GUM,,,,,,,,,,,,,,,
Guyana,GUY,694754983.970153,712667925.076665,696281468.795938,722460911.622513,741929343.015696,785918769.749001,824880550.343965,1458449057.88559,1740335068.52925,1922597806.51498,2025565089.48272,2259288026.41972,2576731667.32023,2850572407.04501,
High income,HIC,26578962966950.4,27198231191532.2,26984790767472,28135091079411.8,31567039712812.2,35221379160222.5,37359335467915.1,39616807105234.5,43500850906009.3,46466022521414.5,43259179599420.8,45518176242171,49486948217608,49717633852979.6,
"Hong Kong SAR, China",HKG,165768095391.557,171668164082.555,169403241524.337,166349228737.386,161384522525.299,169099768875.193,181570082162.19,193536265094.364,211597405593.868,219279678430.164,214046415026.187,228695747309.89,248725976361.768,263259372904.956,
Honduras,HND,5372543554.00697,7105541205.28208,7566501475.58875,7776438040.83046,8140284928.6804,8772167983.07235,9672095583.97918,10841723354.4201,12275493958.7643,13789727209.7482,14486137413.5391,15729644901.1459,17588097149.7523,18434022403.2587,
Heavily indebted poor countries (HIPC),HPC,142240416976.079,138443759592.489,142598501401.198,153890818089.283,175431180293.718,202096207428.844,230443149242.858,274700025382.719,327319085797.818,393030707707.794,389926115739.402,430721834911,479713665743.987,509772655100.889,
Croatia,HRV,23077661293.6429,21517784659.0236,23052044812.5637,26524896398.2367,34143409062.0433,41003558915.6986,44821408830.9352,49855078905.4812,59335976948.2105,69595272329.4363,62244202546.9806,58873839434.9834,61789184183.8732,59228247410.9818,
Haiti,HTI,4088703119.65814,3664503845.56892,3507981945.53618,3214632478.63248,2826481071.96147,3660483885.68707,4154289832.39201,4879738635.95586,5971284337.50737,6407707284.45521,6470254240.08231,6634579143.36112,7346156702.64438,7843484458.14557,
Hungary,HUN,48255011859.791,46385589533.8363,52720966883.3719,66389489264.3391,83538373060.6906,101925734602.027,110321711572.908,112533152716.384,136102020866.708,154233541852.268,126631684032.783,127503279792.248,137448696906.396,124600486886.062,
Indonesia,IDN,140001352527.221,165021012261.509,160446947638.313,195660611033.849,234772458818.096,256836883304.553,285868610016.591,364570525997.054,432216737774.861,510244548959.967,539579959052.699,709190822690.739,846341443778.42,878043027881.581,
Isle of Man,IMN,1567465656.8505,1563667799.61578,1614595290.9182,1897606791.43353,2264911806.90354,2758117365.04863,2915710378.28299,3437450711.55028,4075664785.25458,,,,,,
